epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
108,5274.43,1.0171,1.25025,1.30641,0.90837,0.80469,0.87552,0.71687,0.58139,0.52388,0.87814,0.00720439,0.00720439,0.00720439
109,5325.86,1.0198,1.25938,1.30587,0.91145,0.8046,0.87639,0.71734,0.58061,0.52305,0.87727,0.00715761,0.00715761,0.00715761
110,5372.3,1.01237,1.24207,1.3042,0.9129,0.80454,0.87679,0.71785,0.57998,0.52215,0.87697,0.00711059,0.00711059,0.00711059
111,5418.55,1.02065,1.26573,1.31091,0.9114,0.80546,0.87746,0.7185,0.57957,0.52163,0.87688,0.00706335,0.00706335,0.00706335
112,5465.33,1.00696,1.23867,1.29943,0.91392,0.8049,0.87798,0.71983,0.57887,0.52104,0.87641,0.00701588,0.00701588,0.00701588
113,5515.27,1.01135,1.23701,1.3006,0.91881,0.80504,0.87864,0.72057,0.57807,0.52027,0.87595,0.0069682,0.0069682,0.0069682
114,5559.78,1.00158,1.23604,1.29766,0.92022,0.80496,0.8791,0.72156,0.57729,0.51973,0.8756,0.00692031,0.00692031,0.00692031
115,5602.77,1.00736,1.23563,1.29728,0.91908,0.80469,0.87962,0.72215,0.57656,0.51932,0.87531,0.00687222,0.00687222,0.00687222
116,5645.67,1.00906,1.23197,1.29749,0.91444,0.80742,0.88031,0.72279,0.5759,0.51881,0.87505,0.00682392,0.00682392,0.00682392
117,5688.84,1.00528,1.24017,1.30088,0.91336,0.80781,0.88045,0.72318,0.57542,0.51813,0.87499,0.00677543,0.00677543,0.00677543
118,5732.03,1.00345,1.23439,1.29975,0.91781,0.80637,0.88076,0.72328,0.57511,0.51723,0.87488,0.00672675,0.00672675,0.00672675
119,5774.95,1.0006,1.22192,1.29431,0.9119,0.80785,0.88134,0.72393,0.5744,0.51663,0.8746,0.00667789,0.00667789,0.00667789
120,5817.97,1.00062,1.22783,1.29495,0.91154,0.81098,0.88157,0.72431,0.57353,0.51538,0.87447,0.00662885,0.00662885,0.00662885
121,5860.96,0.99981,1.22098,1.29113,0.91008,0.811,0.88214,0.72446,0.57285,0.51485,0.87427,0.00657963,0.00657963,0.00657963
122,5904.03,1.00149,1.23057,1.29554,0.91302,0.81031,0.88178,0.72516,0.572,0.51401,0.87361,0.00653025,0.00653025,0.00653025
123,5946.85,0.99458,1.22899,1.29187,0.91112,0.81007,0.88196,0.72555,0.57184,0.51361,0.87342,0.00648071,0.00648071,0.00648071
124,5989.89,0.99415,1.22525,1.29189,0.91408,0.80984,0.88233,0.72559,0.57178,0.51319,0.87334,0.00643101,0.00643101,0.00643101
125,6032.94,0.99536,1.22266,1.29158,0.91559,0.80964,0.88298,0.72637,0.57138,0.5125,0.87311,0.00638115,0.00638115,0.00638115
126,6075.86,0.99711,1.23683,1.2939,0.91319,0.81058,0.88345,0.72598,0.57108,0.5119,0.87291,0.00633115,0.00633115,0.00633115
127,6118.88,0.99132,1.22545,1.28883,0.91433,0.80972,0.88389,0.72637,0.57081,0.5114,0.87285,0.00628101,0.00628101,0.00628101
128,6161.78,0.99664,1.23252,1.29398,0.91169,0.80965,0.88413,0.72709,0.5707,0.51087,0.87268,0.00623074,0.00623074,0.00623074
129,6205.01,0.98647,1.20886,1.2865,0.91849,0.80785,0.88453,0.7279,0.57042,0.51021,0.87278,0.00618034,0.00618034,0.00618034
130,6247.96,0.98552,1.20857,1.28695,0.91843,0.80831,0.88493,0.72814,0.56991,0.50973,0.87269,0.00612981,0.00612981,0.00612981
131,6290.96,0.99389,1.2136,1.28907,0.91952,0.80827,0.8854,0.72846,0.56964,0.50916,0.87255,0.00607916,0.00607916,0.00607916
132,6334.06,0.98006,1.19557,1.28387,0.91413,0.81125,0.88529,0.72886,0.56922,0.50854,0.87224,0.0060284,0.0060284,0.0060284
133,6377.14,0.98259,1.20534,1.28698,0.92151,0.80867,0.88515,0.72897,0.56885,0.5081,0.87211,0.00597754,0.00597754,0.00597754
134,6420.17,0.98093,1.20994,1.27979,0.91743,0.80953,0.88534,0.72941,0.56858,0.50757,0.87205,0.00592657,0.00592657,0.00592657
135,6463.2,0.98814,1.20956,1.28725,0.91806,0.80995,0.88553,0.72993,0.56816,0.50701,0.87159,0.00587551,0.00587551,0.00587551
136,6505.97,0.97715,1.19108,1.2825,0.91715,0.80999,0.88535,0.73037,0.5678,0.50652,0.87145,0.00582435,0.00582435,0.00582435
137,6548.67,0.9775,1.19995,1.28488,0.91919,0.81014,0.88568,0.73074,0.56726,0.50608,0.87103,0.00577311,0.00577311,0.00577311
138,6591.27,0.97728,1.20487,1.28344,0.91816,0.81085,0.88645,0.73063,0.56685,0.50549,0.87074,0.00572179,0.00572179,0.00572179
139,6633.94,0.97416,1.1956,1.27937,0.91663,0.8113,0.8861,0.73043,0.56634,0.50491,0.87038,0.0056704,0.0056704,0.0056704
140,6676.48,0.98464,1.21139,1.28699,0.91828,0.8108,0.8862,0.73095,0.56603,0.50445,0.87019,0.00561894,0.00561894,0.00561894
141,6719.22,0.98156,1.20565,1.28107,0.91766,0.8104,0.88663,0.73118,0.56578,0.50394,0.87003,0.00556742,0.00556742,0.00556742
142,6761.89,0.98793,1.21034,1.28689,0.92253,0.81053,0.88672,0.73188,0.56547,0.50356,0.8701,0.00551584,0.00551584,0.00551584
143,6804.46,0.96942,1.19488,1.28022,0.92455,0.8092,0.88681,0.73189,0.56491,0.50287,0.87003,0.00546421,0.00546421,0.00546421
